t,ins_ref,ins_vel_ref,tws_ref,tws_vel_ref,xm,xm_dot,pm,mode_impedance,xr,dx,xc,x_ref,v_cmd,x_cmd,dF,ke_hat,be_hat,xe_hat,hysteresis_current,dfdt_abs,f_safe,tws_meas,tws_meas_vel
0.0,0.0,0.0,0.0,0.0,0.003367031691595912,0.0,0.00047138443682342773,0,0.0,0.0,0.0,0.0,-0.003367031691595912,0.003333361374679953,4.999528615563176,100.0,0.5,0.0,0.2,0.0,5.0,-1.3326878489650085e-10,0.0
0.010063886642456055,0.0,0.0,0.0,0.0,0.003333361374679953,-0.003367031691595912,0.00043300027553923434,0,0.0,0.0,0.0,0.0,-0.003333361374679953,0.003299814803666832,4.999566999724461,100.0,0.5,0.0,0.33000000000000007,0.0038140494470857707,5.0,-1.3326878489650085e-10,0.0
0.020129919052124023,0.0,0.0,0.0,0.0,0.003299814803666832,-0.003333361374679953,0.00042864045876655707,0,0.0,0.0,0.0,0.0,-0.003299814803666832,0.003266598760907219,4.999571359541234,100.0,0.5,0.0,0.4470000000000001,0.0004331216705094121,5.0,-1.068005198168187e-10,2.629463526688089e-09
0.03019404411315918,0.0,0.0,0.0,0.0,0.003266598760907219,-0.003299814803666832,0.0004243256784903424,0,0.0,0.0,0.0,0.0,-0.003266598760907219,0.0032337233024532265,4.99957567432151,100.0,0.5,0.0,0.5523000000000001,0.0004287288015646815,5.0,-1.068005198168187e-10,0.0
0.04026222229003906,0.0,0.0,0.0,0.0,0.0032337233024532265,-0.003266598760907219,0.0004200552747343796,0,0.0,0.0,0.0,0.0,-0.0032337233024532265,0.003201165600069399,4.999579944725266,100.0,0.5,0.0,0.6470700000000001,0.00042414860771625764,5.0,-1.068005198168187e-10,0.0
0.050325632095336914,0.0,0.0,0.0,0.0,0.003201165600069399,-0.0032337233024532265,0.00041582595098518365,0,0.0,0.0,0.0,0.0,-0.003201165600069399,0.003168950958781278,4.999584174049015,100.0,0.5,0.0,0.7323630000000002,0.0004202674670934508,5.0,-1.068005198168187e-10,0.0
0.060440778732299805,-0.15295667562256812,-15.190292096188854,0.5640491533725817,56.0163285548902,0.003168950958781278,-0.003201165600069399,0.000411641478228685,0,-0.15295667562256812,0.0,-0.15295667562256812,-0.15295667562256812,-15.346417722770203,-0.15206231465912545,4.9995883585217715,100.0,0.5,0.0,0.8091267000000002,0.0004136838452947112,5.0,-1.068005198168187e-10,0.0
0.07062768936157227,-0.15295667562256812,-15.190292096188854,0.5640491533725817,56.0163285548902,-0.15206231465912545,-15.346417722770203,0.0,0,-0.15295667562256812,0.0,-0.15295667562256812,-0.15295667562256812,-15.191186457152297,-0.30681357345075,5.0,100.0,0.5,0.0,0.8782140300000002,0.040408863217648944,5.0,1.0350413859328e-08,1.0265344185012904e-06
0.08069419860839844,-1.0438095969818966,-29.494711024826472,3.9941150117976347,113.56397769454418,-0.30681357345075,-15.191186457152297,0.0,0,-1.0438095969818966,0.0,-1.0438095969818966,-1.0438095969818966,-30.23170704835762,-0.611141332000382,5.0,100.0,0.5,0.0,0.9403926270000003,0.0,5.0,1.0350413859328e-08,0.0
0.0907599925994873,-1.0438095969818966,-29.494711024826472,3.9941150117976347,113.56397769454418,-0.611141332000382,-30.23170704835762,0.0,0,-1.0438095969818966,0.0,-1.0438095969818966,-1.0438095969818966,-29.927379289807988,-0.9123841666247687,5.0,100.0,0.5,0.0,0.9963533643000003,0.0,5.0,1.0350413859328e-08,0.0
